Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,,,,2020-01-10 11:29:48,2020-01-10 11:30:02,13.874s,INCOMPLETE
,,,,,,,
Test Cases/audi,,,,2020-01-10 11:29:48,2020-01-10 11:29:52,3.475s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:49,2020-01-10 11:29:52,2.987s,FAILED
,,,,,,,
Test Cases/baldaja,,,,2020-01-10 11:29:52,2020-01-10 11:29:53,0.782s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:52,2020-01-10 11:29:53,0.556s,FAILED
,,,,,,,
Test Cases/barmer,,,,2020-01-10 11:29:53,2020-01-10 11:29:53,0.804s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:53,2020-01-10 11:29:53,0.555s,FAILED
,,,,,,,
Test Cases/bearingpoint,,,,2020-01-10 11:29:53,2020-01-10 11:29:54,0.773s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:54,2020-01-10 11:29:54,0.554s,FAILED
,,,,,,,
Test Cases/commerzbank,,,,2020-01-10 11:29:54,2020-01-10 11:29:55,0.802s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:54,2020-01-10 11:29:55,0.563s,FAILED
,,,,,,,
Test Cases/covestro,,,,2020-01-10 11:29:55,2020-01-10 11:29:56,0.755s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:55,2020-01-10 11:29:56,0.549s,FAILED
,,,,,,,
Test Cases/freshfields,,,,2020-01-10 11:29:56,2020-01-10 11:29:56,0.779s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:56,2020-01-10 11:29:56,0.554s,FAILED
,,,,,,,
Test Cases/goomo,,,,2020-01-10 11:29:57,2020-01-10 11:29:57,0.761s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:57,2020-01-10 11:29:57,0.551s,FAILED
,,,,,,,
Test Cases/ibe,,,,2020-01-10 11:29:57,2020-01-10 11:29:58,0.772s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:57,2020-01-10 11:29:58,0.548s,FAILED
,,,,,,,
Test Cases/microfuzzy,,,,2020-01-10 11:29:58,2020-01-10 11:29:59,0.751s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:58,2020-01-10 11:29:59,0.550s,FAILED
,,,,,,,
Test Cases/roche,,,,2020-01-10 11:29:59,2020-01-10 11:30:00,0.766s,FAILED
"openBrowser("""")",,,,2020-01-10 11:29:59,2020-01-10 11:30:00,0.559s,FAILED
,,,,,,,
Test Cases/roomit,,,,2020-01-10 11:30:00,2020-01-10 11:30:00,0.755s,FAILED
"openBrowser("""")",,,,2020-01-10 11:30:00,2020-01-10 11:30:00,0.549s,FAILED
,,,,,,,
Test Cases/tmdfriction,,,,2020-01-10 11:30:00,2020-01-10 11:30:01,0.750s,FAILED
"openBrowser("""")",,,,2020-01-10 11:30:01,2020-01-10 11:30:01,0.548s,FAILED
,,,,,,,
Test Cases/zeb,,,,2020-01-10 11:30:01,2020-01-10 11:30:02,0.759s,FAILED
"openBrowser("""")",,,,2020-01-10 11:30:01,2020-01-10 11:30:02,0.541s,FAILED
