Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,Chrome 77.0.3865.90,,,2020-01-12 13:09:59,2020-01-12 13:17:17,7m - 17.682s,INCOMPLETE
,,,,,,,
Test Cases/audi,Chrome 77.0.3865.90,,,2020-01-12 13:09:59,2020-01-12 13:10:36,37.490s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:09:59,2020-01-12 13:10:00,1.015s,PASSED
"navigateToUrl(""https://audi.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:10:00,2020-01-12 13:10:07,6.770s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:10:07,2020-01-12 13:10:17,10.019s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:10:17,2020-01-12 13:10:18,0.602s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:10:18,2020-01-12 13:10:21,3.008s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:10:21,2020-01-12 13:10:21,0.488s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:10:21,2020-01-12 13:10:22,0.826s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:10:22,2020-01-12 13:10:25,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:10:25,2020-01-12 13:10:25,0.122s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:10:25,2020-01-12 13:10:33,8.004s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:10:33,2020-01-12 13:10:33,0.121s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:10:33,2020-01-12 13:10:36,3.004s,PASSED
