Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,Firefox 69.0,,,2020-01-12 13:20:45,2020-01-12 13:29:00,8m - 15.221s,INCOMPLETE
,,,,,,,
Test Cases/audi,Firefox 69.0,,,2020-01-12 13:20:45,2020-01-12 13:21:26,40.149s,PASSED
"openBrowser("""")",Firefox 69.0,,,2020-01-12 13:20:46,2020-01-12 13:20:49,3.636s,PASSED
"navigateToUrl(""https://audi.acomodeo.com/en/"")",Firefox 69.0,,,2020-01-12 13:20:49,2020-01-12 13:20:52,2.687s,PASSED
delay(10),Firefox 69.0,,,2020-01-12 13:20:52,2020-01-12 13:21:02,10.022s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Firefox 69.0,,,2020-01-12 13:21:02,2020-01-12 13:21:03,0.531s,PASSED
delay(3),Firefox 69.0,,,2020-01-12 13:21:03,2020-01-12 13:21:06,3.006s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Firefox 69.0,,,2020-01-12 13:21:06,2020-01-12 13:21:06,0.535s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Firefox 69.0,,,2020-01-12 13:21:06,2020-01-12 13:21:07,0.648s,PASSED
delay(3),Firefox 69.0,,,2020-01-12 13:21:07,2020-01-12 13:21:10,3.005s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Firefox 69.0,,,2020-01-12 13:21:10,2020-01-12 13:21:10,0.384s,PASSED
delay(8),Firefox 69.0,,,2020-01-12 13:21:10,2020-01-12 13:21:18,8.010s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Firefox 69.0,,,2020-01-12 13:21:18,2020-01-12 13:21:19,0.324s,PASSED
delay(3),Firefox 69.0,,,2020-01-12 13:21:19,2020-01-12 13:21:22,3.009s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Firefox 69.0,,,2020-01-12 13:21:22,2020-01-12 13:21:22,0.300s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Firefox 69.0,,,2020-01-12 13:21:22,2020-01-12 13:21:22,0.084s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Firefox 69.0,,,2020-01-12 13:21:22,2020-01-12 13:21:22,0.005s,PASSED
closeBrowser(),Firefox 69.0,,,2020-01-12 13:21:22,2020-01-12 13:21:26,3.581s,PASSED
,,,,,,,
Test Cases/baldaja,Firefox 69.0,,,2020-01-12 13:21:26,2020-01-12 13:22:09,43.712s,PASSED
"openBrowser("""")",Firefox 69.0,,,2020-01-12 13:21:26,2020-01-12 13:21:29,2.956s,PASSED
"navigateToUrl(""https://baldaja.acomodeo.com/en/"")",Firefox 69.0,,,2020-01-12 13:21:29,2020-01-12 13:21:36,7.363s,PASSED
